"item_name","cancelled_count"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs","4"
"Thomas' Bagels, Plain, 12 ct","4"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2"
"Large Eggs, 15 Dozen","2"
"Kirkland Signature Three Berry Blend, 4 lbs","2"
"Cara Cara Oranges, 5 lbs","1"
"Wawona Spectrum Fruit Blend, 10 lbs","1"
"Sweet Baby Ray's Barbecue Sauce, 160 oz","1"
"Thomas' Bagels, Everything, 12 ct","1"
"Extra Large Eggs, 15 Dozen","1"
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs","1"
