"item_name","total_spent","total_quantity"
"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs","4710.36","204"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs","2673.93","147"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz","983.43","147"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb","935.12","48"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct","774.95","55"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","665.31","29"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","655.68","32"
"Kirkland Signature Three Berry Blend, 4 lbs","580.05","45"
"Premium Strawberries, 2 lbs","513.68","72"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","509.75","25"
